,close,high,high_limit,low,volume,day
2016-01-06-000023.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000023.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000023.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000024.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000024.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000024.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000024.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000025.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000025.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000025.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000025.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000026.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000026.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000026.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000026.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000027.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000027.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000027.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000027.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000028.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000028.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000028.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000028.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000029.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000029.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000029.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000029.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000030.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000030.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000030.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000030.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000031.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000031.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000031.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000031.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000032.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000032.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000032.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000032.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000033.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
