,win_ratio,mean,count
speedup1-~yz0-top0-opentop0-~opentop1-top1-6,0.692307692308,1.02001688722,13
~speedup1-~opentop0-top0-~yz1-top1-opentop1-4,0.65,1.02038119659,40
jump1-yz0-~opentop1-top1-3,0.61797752809,1.02100530271,89
jump1-~yz0-top0-opentop0-~opentop1-top1-7,0.666666666667,1.028445193,12
~jump1-~yz0-top0-opentop0-~opentop1-top1-3,0.722222222222,1.02121573323,18
opentop2-yz0-~yz1-top1-opentop1-5,0.764705882353,1.02307807201,17
opentop2-~yz0-top0-opentop0-~opentop1-top1-3,0.75,1.03542581869,16
~speedup1-opentop2-~yz0-top0-opentop0-3,0.733333333333,1.03391348469,15
~jump1-~opentop2-yz0-6,0.72,1.02589306653,25
~jump1-~opentop2-~yz0-top0-opentop0-4,0.676470588235,1.02279491788,34
~jump1-opentop2-~yz1-top1-opentop1-2,0.7,1.02783964465,20
~jump1-~opentop2-~yz1-top1-opentop1-3,0.625,1.02630962229,16
~jump1-~opentop2-~yz1-top1-opentop1-6,0.695652173913,1.02380086793,23
speedup1-jump1-opentop2-1,0.7,1.02893996176,10
speedup1-~jump1-~opentop2-6,0.727272727273,1.02148922081,11
speedup1-jump1-~yz0-top0-opentop0-~yz1-top1-opentop1-5,0.7,1.03718062897,10
~speedup1-jump1-yz0-~opentop1-top1-3,0.61797752809,1.02100530271,89
~speedup1-opentop2-yz0-~yz1-top1-opentop1-5,0.764705882353,1.02307807201,17
~speedup1-opentop2-~opentop0-top0-~yz1-top1-opentop1-4,0.733333333333,1.02548056344,15
~speedup1-opentop2-~yz0-top0-opentop0-~opentop1-top1-3,0.818181818182,1.04714804275,11
jump1-opentop2-yz0-~yz1-top1-opentop1-5,0.785714285714,1.02498261642,14
jump1-opentop2-~yz0-top0-opentop0-~opentop1-top1-3,0.666666666667,1.03622914542,12
~jump1-opentop2-~top0-~yz1-top1-opentop1-2,0.7,1.02783964465,20
~jump1-~opentop2-yz0-~yz1-top1-opentop1-6,0.722222222222,1.02737392543,18
~jump1-~opentop2-~yz0-top0-opentop0-~opentop1-top1-4,0.677419354839,1.02199605301,31
~speedup1-jump1-opentop2-~yz0-top0-opentop0-3,0.666666666667,1.03553786787,12
~speedup1-~jump1-~opentop2-yz0-6,0.72,1.02589306653,25
~speedup1-~jump1-~opentop2-~yz0-top0-opentop0-4,0.676470588235,1.02279491788,34
speedup1-~jump1-opentop2-~yz1-top1-opentop1-2,0.714285714286,1.02794574959,14
speedup1-jump1-~opentop2-~yz1-top1-opentop1-5,0.653846153846,1.02595675853,26
~speedup1-~jump1-~opentop2-~yz1-top1-opentop1-6,0.666666666667,1.02141048196,21
