,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,top_count,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
300689.XSHE_2017-08-24,1.04211060375,2017-08-24 00:00:00,2017-08-23 00:00:00,300689.XSHE,48.86,48.86,48.86,47.02,47.86,8523377.0,9.0,53.75,53.75,53.75,46.0,48.8,11250349.0,10.0,59.13,59.13,59.13,54.17,54.37,10118304.0,11.0,65.04,65.04,65.04,61.61,61.62,7653114.0,12.0,12.0,11.0,54.4,3436000.0,09:40:00,,0,5,0.100093023256,,44.42,7396126.0,17.27,False,True
300689.XSHE_2017-08-25,1.08994464945,2017-08-25 00:00:00,2017-08-24 00:00:00,300689.XSHE,53.75,53.75,53.75,46.0,48.8,11250349.0,10.0,59.13,59.13,59.13,54.17,54.37,10118304.0,11.0,65.04,65.04,65.04,61.61,61.62,7653114.0,12.0,71.54,71.54,71.54,67.01,70.89,4932273.0,13.0,13.0,12.0,62.01,7301400.0,13:07:00,,0,1,0.100093023256,,48.86,8523377.0,17.27,False,True
300689.XSHE_2017-08-28,1.02040816327,2017-08-28 00:00:00,2017-08-25 00:00:00,300689.XSHE,59.13,59.13,59.13,54.17,54.37,10118304.0,11.0,65.04,65.04,65.04,61.61,61.62,7653114.0,12.0,71.54,71.54,71.54,67.01,70.89,4932273.0,13.0,67.4,78.69,78.69,66.06,73.0,10659477.0,14.0,14.0,13.0,67.23,4368200.0,10:15:00,,0,1,0.100093023256,,53.75,11250349.0,17.27,False,True
300689.XSHE_2017-08-29,0.805693226585,2017-08-29 00:00:00,2017-08-28 00:00:00,300689.XSHE,65.04,65.04,65.04,61.61,61.62,7653114.0,12.0,71.54,71.54,71.54,67.01,70.89,4932273.0,13.0,67.4,78.69,78.69,66.06,73.0,10659477.0,14.0,62.54,67.58,74.14,61.0,63.4,10315096.0,15.0,15.0,14.0,68.68,7944200.0,14:28:00,,0,1,0.100093023256,,59.13,11250349.0,17.27,False,True
300691.XSHE_2017-08-30,1.07120352867,2017-08-30 00:00:00,2017-08-29 00:00:00,300691.XSHE,65.58,65.58,65.58,65.58,65.58,123433.0,11.0,72.14,72.14,72.14,72.14,72.14,294343.0,12.0,79.35,79.35,79.35,71.0,72.5,13645036.0,13.0,82.49,85.56,87.29,79.01,85.0,14198767.0,14.0,14.0,13.0,72.52,6836500.0,09:39:00,,0,2,0.100060888979,,59.62,393119.0,19.15,False,True
300693.XSHE_2017-09-05,0.947075208914,2017-09-05 00:00:00,2017-09-04 00:00:00,300693.XSHE,44.5,44.5,44.5,44.5,44.5,141089.0,8.0,48.95,48.95,48.95,48.95,48.95,87883.0,9.0,52.2,53.85,53.85,49.66,53.85,14544010.0,10.0,54.0,56.36,57.42,50.41,51.0,12865746.0,11.0,11.0,10.0,53.85,93300.0,09:30:00,,0,1,0.100123609394,,40.45,53530.0,17.3,False,True
600091.XSHG_2017-07-21,0.994694960212,2017-07-21 00:00:00,2017-07-20 00:00:00,600091.XSHG,7.02,7.02,7.02,6.66,6.7,6713587.0,28.0,7.18,7.26,7.37,6.96,7.0,5908016.0,29.0,7.52,7.54,7.54,7.12,7.19,8214486.0,30.0,7.58,7.9,7.9,7.44,7.5,13048409.0,31.0,1.0,2.0,7.12,5833800.0,14:16:00,1.0,0,0,0.0506329113924,4055593.96386,9.23,11792783.0,6.11,True,False
600091.XSHG_2017-07-24,0.946835443038,2017-07-24 00:00:00,2017-07-21 00:00:00,600091.XSHG,7.18,7.26,7.37,6.96,7.0,5908016.0,29.0,7.52,7.54,7.54,7.12,7.19,8214486.0,30.0,7.58,7.9,7.9,7.44,7.5,13048409.0,31.0,7.58,7.6,7.96,7.37,7.48,5758188.0,32.0,1.0,1.0,7.44,1893700.0,09:41:00,1.0,0,2,0.0493273542601,3976423.0122,9.18,11792783.0,6.11,True,False
600117.XSHG_2017-07-27,0.983122362869,2017-07-27 00:00:00,2017-07-26 00:00:00,600117.XSHG,6.26,6.26,6.26,5.68,6.06,62019338.0,32.0,6.46,6.79,6.89,6.2,6.58,91513743.0,33.0,7.11,7.11,7.11,6.9,7.11,115138436.0,34.0,7.82,7.82,7.82,6.9,6.99,122236474.0,35.0,1.0,2.0,7.11,5975500.0,09:30:00,1.0,0,4,0.100619195046,9223756.02353,6.37,32074737.0,4.63,False,False
600117.XSHG_2017-07-28,1.04987212276,2017-07-28 00:00:00,2017-07-27 00:00:00,600117.XSHG,6.46,6.79,6.89,6.2,6.58,91513743.0,33.0,7.11,7.11,7.11,6.9,7.11,115138436.0,34.0,7.82,7.82,7.82,6.9,6.99,122236474.0,35.0,8.6,8.6,8.6,8.1,8.21,136902690.0,36.0,2.0,1.0,6.93,114167500.0,11:25:00,1.0,0,1,0.100619195046,9230712.64286,6.37,62019338.0,4.63,False,False
