,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
300374.XSHE_2017-07-24,0.974184782609,2017-07-24 00:00:00,2017-07-21 00:00:00,300374.XSHE,26.37,27.78,29.0,26.16,26.16,13616071.0,8.0,26.76,27.27,29.01,25.15,25.15,12581189.0,9.0,28.82,29.44,29.44,26.35,26.58,19384956.0,10.0,29.29,29.3,31.7,27.72,28.68,14552149.0,11.0,1.0,1.0,26.46,15266600.0,14:08:00,1.0,0,0.076980568012,10082549.5867,31.67,30801588.0,18.87,False,False
300374.XSHE_2017-07-27,1.01184758245,2017-07-27 00:00:00,2017-07-26 00:00:00,300374.XSHE,29.29,29.3,31.7,27.72,28.68,14552149.0,11.0,28.39,30.21,32.22,28.3,28.8,14435727.0,12.0,31.23,31.23,31.23,28.64,28.96,18527022.0,13.0,30.68,32.56,34.35,30.4,31.6,17667861.0,14.0,1.0,1.0,28.65,17563700.0,14:32:00,1.0,0,0.10003522367,10115649.24,31.67,30801588.0,18.87,False,False
300377.XSHE_2017-08-02,0.940323955669,2017-08-02 00:00:00,2017-08-01 00:00:00,300377.XSHE,10.64,10.88,11.76,10.33,10.56,16517686.0,15.0,10.66,10.74,11.7,10.4,10.58,12192917.0,16.0,11.19,11.73,11.73,10.53,10.56,35983774.0,17.0,12.31,12.31,12.31,10.9,11.03,51377483.0,18.0,1.0,1.0,10.54,8877200.0,10:24:00,1.0,0,0.0995807127883,12727172.0471,16.54,38679164.0,9.3,False,False
300377.XSHE_2017-08-08,0.988779803647,2017-08-08 00:00:00,2017-08-07 00:00:00,300377.XSHE,12.96,13.26,13.54,12.25,12.59,68495526.0,19.0,12.96,13.58,14.26,12.5,12.7,58588460.0,20.0,14.26,14.26,14.26,12.63,12.72,94049954.0,21.0,15.68,15.69,15.69,14.02,14.1,112220403.0,22.0,1.0,1.0,12.63,33335400.0,10:44:00,2.0,0,0.100308641975,12372533.9759,15.59,51377483.0,9.3,False,False
300500.XSHE_2017-08-11,,2017-08-11 00:00:00,2017-08-10 00:00:00,300500.XSHE,33.2,34.07,37.48,32.03,34.07,6350622.0,20.0,31.64,34.14,36.52,31.5,32.9,6771170.0,21.0,34.8,34.8,34.8,30.96,31.59,8813926.0,22.0,,,,,,,,1.0,1.0,30.98,7764100.0,13:45:00,2.0,1,0.100142045455,1619540.87952,46.74,10339596.0,24.22,False,False
300511.XSHE_2017-07-27,0.977678571429,2017-07-27 00:00:00,2017-07-26 00:00:00,300511.XSHE,20.22,21.26,23.86,20.13,21.11,5793008.0,11.0,20.36,20.58,22.24,20.16,20.18,2714347.0,12.0,21.87,22.4,22.4,20.18,20.24,7710860.0,13.0,22.22,22.4,24.06,21.71,21.9,6595826.0,14.0,1.0,1.0,,,,0.0,0,0.0741650294695,2799521.89412,30.18,17762178.0,17.88,False,False
300541.XSHE_2017-08-09,1.01298701299,2017-08-09 00:00:00,2017-08-08 00:00:00,300541.XSHE,26.0,26.76,28.6,25.5,25.5,1246141.0,20.0,28.0,28.36,28.6,25.45,25.81,3491604.0,21.0,30.8,30.8,30.8,27.53,27.54,5556959.0,22.0,32.01,33.5,33.88,31.2,31.2,6704844.0,23.0,1.0,1.0,27.53,4938000.0,14:49:00,1.0,0,0.1,898423.333333,43.86,4577389.0,22.98,False,False
300601.XSHE_2017-07-31,0.976737338045,2017-07-31 00:00:00,2017-07-28 00:00:00,300601.XSHE,28.98,29.72,31.14,28.0,28.22,3211265.0,13.0,30.87,31.67,31.88,30.13,30.5,4946294.0,14.0,33.2,33.96,33.96,31.05,31.2,6430863.0,15.0,32.0,33.18,36.52,31.75,33.17,4219836.0,16.0,1.0,1.0,31.05,3838600.0,10:35:00,0.0,0,0.0754778101717,2044796.84706,40.8,11949365.0,23.99,False,False
300609.XSHE_2017-07-27,0.99128540305,2017-07-27 00:00:00,2017-07-26 00:00:00,300609.XSHE,43.48,43.5,46.19,41.5,41.81,5007987.0,11.0,41.73,43.77,47.83,41.15,43.2,4764952.0,12.0,45.9,45.9,45.9,41.0,41.42,8184066.0,13.0,46.65,47.63,50.49,44.66,45.5,8426701.0,14.0,1.0,1.0,41.0,3959600.0,10:55:00,0.0,0,0.0999281092739,3250794.775,75.42,14269042.0,31.63,False,False
300619.XSHE_2017-08-02,1.01630181649,2017-08-02 00:00:00,2017-08-01 00:00:00,300619.XSHE,38.51,38.98,42.63,37.71,38.01,1235495.0,15.0,39.04,39.25,42.36,38.06,38.31,1561760.0,16.0,42.94,42.94,42.94,39.2,39.2,3852330.0,17.0,42.39,43.64,47.23,41.0,43.64,3972973.0,18.0,1.0,1.0,39.21,3245300.0,10:38:00,0.0,0,0.0998975409836,2374163.55128,87.62,12008461.0,35.8,False,False
300649.XSHE_2017-07-24,0.980060831362,2017-07-24 00:00:00,2017-07-21 00:00:00,300649.XSHE,56.21,58.98,63.07,55.78,56.11,5691079.0,8.0,53.8,55.97,61.83,53.41,54.81,4776477.0,9.0,59.18,59.18,59.18,53.0,53.28,5915746.0,10.0,61.02,63.99,65.1,57.62,58.0,7576518.0,11.0,1.0,1.0,53.01,5103100.0,14:01:00,2.0,1,0.1,5212198.2,66.68,13762886.0,11.9,False,False
300649.XSHE_2017-07-27,1.03686635945,2017-07-27 00:00:00,2017-07-26 00:00:00,300649.XSHE,61.02,63.99,65.1,57.62,58.0,7576518.0,11.0,63.13,63.16,67.12,59.49,61.0,5503767.0,12.0,69.44,69.44,69.44,62.5,63.13,6751500.0,13.0,70.5,73.44,76.38,69.56,72.0,6141459.0,14.0,1.0,1.0,62.52,4085400.0,10:48:00,3.0,1,0.1,5291314.15625,66.68,13762886.0,11.9,False,False
300666.XSHE_2017-07-27,0.974374079529,2017-07-27 00:00:00,2017-07-26 00:00:00,300666.XSHE,28.49,30.28,30.36,26.92,27.67,25462093.0,11.0,30.86,31.28,31.34,28.11,28.8,22149725.0,12.0,33.55,33.95,33.95,29.21,30.3,24748535.0,13.0,31.9,33.68,36.91,31.35,33.08,18157383.0,14.0,1.0,1.0,29.3,22974100.0,14:49:00,2.0,0,0.100039856517,16230177.2857,32.4,31974187.0,5.57,False,True
300671.XSHE_2017-07-27,1.03719599428,2017-07-27 00:00:00,2017-07-26 00:00:00,300671.XSHE,24.02,24.72,26.72,23.68,23.88,5636456.0,11.0,25.42,25.75,26.42,23.67,23.95,9259962.0,12.0,27.96,27.96,27.96,25.0,25.02,10452942.0,13.0,28.4,29.96,30.76,27.96,29.0,13774478.0,14.0,1.0,1.0,25.0,8052900.0,10:56:00,0.0,0,0.0999213217939,11801197.0,27.86,16597956.0,10.58,False,True
300672.XSHE_2017-08-03,0.960866526904,2017-08-03 00:00:00,2017-08-02 00:00:00,300672.XSHE,25.8,26.82,29.15,25.0,26.53,6306205.0,14.0,26.02,26.13,28.38,25.45,25.6,4149765.0,15.0,28.05,28.62,28.62,25.87,25.9,9706525.0,16.0,26.34,27.95,30.86,26.33,27.5,7067396.0,17.0,1.0,1.0,25.87,4734600.0,10:42:00,0.0,0,0.0780169100692,11108750.5,28.58,17665903.0,10.18,False,True
300675.XSHE_2017-08-11,,2017-08-11 00:00:00,2017-08-10 00:00:00,300675.XSHE,16.82,18.24,20.56,16.82,18.0,17973503.0,15.0,16.35,17.29,18.5,16.32,16.6,12752436.0,16.0,17.99,17.99,17.99,17.32,17.99,16258244.0,17.0,,,,,,,,1.0,1.0,17.99,1973100.0,09:30:00,0.0,0,0.100305810398,,19.61,25662296.0,4.39,False,True
600039.XSHG_2017-08-09,0.932135728543,2017-08-09 00:00:00,2017-08-08 00:00:00,600039.XSHG,4.57,4.57,4.93,4.5,4.52,25037215.0,20.0,4.55,4.63,5.03,4.52,4.6,27920304.0,21.0,4.8,5.01,5.01,4.74,5.01,204503251.0,22.0,4.63,4.73,5.28,4.62,4.67,96001174.0,23.0,1.0,1.0,4.98,35092800.0,09:30:00,1.0,0,0.0549450549451,30293638.1294,5.27,154710706.0,3.78,False,False
600111.XSHG_2017-07-26,0.977806788512,2017-07-26 00:00:00,2017-07-25 00:00:00,600111.XSHG,14.13,14.3,15.54,13.83,14.03,89067977.0,10.0,13.93,14.48,15.54,13.8,14.14,134488606.0,11.0,15.14,15.32,15.32,14.03,14.39,294237925.0,12.0,15.75,16.41,16.65,14.96,14.98,308025786.0,13.0,1.0,1.0,14.05,262386000.0,14:33:00,0.0,0,0.0868628858579,30632102.9048,14.88,320418177.0,10.56,False,False
600111.XSHG_2017-07-31,0.994089199355,2017-07-31 00:00:00,2017-07-28 00:00:00,600111.XSHG,15.75,16.41,16.65,14.96,14.98,308025786.0,13.0,16.92,17.3,17.33,15.4,15.55,263066750.0,14.0,18.61,18.61,18.61,17.05,17.1,313060583.0,15.0,18.11,18.5,20.47,17.71,18.5,260127620.0,16.0,1.0,1.0,17.11,281420800.0,14:46:00,0.0,0,0.0998817966903,32580096.5783,15.32,320418177.0,10.56,False,False
600111.XSHG_2017-08-07,1.00783289817,2017-08-07 00:00:00,2017-08-04 00:00:00,600111.XSHG,18.36,18.42,19.75,17.43,17.62,227742250.0,18.0,17.41,19.1,20.2,17.39,18.31,259641925.0,19.0,19.15,19.15,19.15,17.5,17.5,369014134.0,20.0,19.57,20.39,21.07,19.01,19.3,379977818.0,21.0,1.0,1.0,17.51,292907600.0,14:40:00,1.0,0,0.0999425617461,43763718.2805,19.39,330458029.0,10.56,False,False
600121.XSHG_2017-08-04,0.949152542373,2017-08-04 00:00:00,2017-08-03 00:00:00,600121.XSHG,6.04,6.26,6.37,6.03,6.08,17897792.0,17.0,6.18,6.19,6.34,5.98,6.01,10088989.0,18.0,6.18,6.49,6.49,6.15,6.15,31812391.0,19.0,6.31,6.34,6.49,6.07,6.16,14519713.0,20.0,1.0,1.0,6.16,12586000.0,10:16:00,1.0,0,0.0455974842767,9112522.43902,6.57,35247588.0,4.42,True,False
600133.XSHG_2017-07-21,0.997076023392,2017-07-21 00:00:00,2017-07-20 00:00:00,600133.XSHG,11.82,12.0,12.96,11.52,11.62,78263216.0,7.0,12.44,12.96,13.0,11.44,11.65,88467330.0,8.0,13.64,13.68,13.68,12.23,12.43,116941785.0,9.0,13.41,14.71,15.0,13.03,13.64,157408498.0,10.0,1.0,1.0,12.25,83772000.0,13:52:00,1.0,0,0.0999066293184,22690816.5422,11.78,87590198.0,7.2,False,False
600148.XSHG_2017-07-24,1.01077050539,2017-07-24 00:00:00,2017-07-21 00:00:00,600148.XSHG,34.08,34.8,35.41,31.75,31.86,20850136.0,8.0,32.92,33.8,37.49,32.69,33.33,14223907.0,9.0,36.21,36.21,36.21,32.71,33.0,21669642.0,10.0,35.85,36.97,39.83,35.12,36.6,18168471.0,11.0,1.0,1.0,32.71,20925600.0,14:55:00,1.0,0,0.100071736011,6240427.06024,36.99,20571997.0,19.68,False,False
600148.XSHG_2017-08-04,0.997134670487,2017-08-04 00:00:00,2017-08-03 00:00:00,600148.XSHG,31.33,33.4,37.3,31.0,33.2,16784710.0,17.0,31.73,32.4,34.46,31.2,31.41,9268926.0,18.0,34.9,34.9,34.9,31.77,31.78,22295504.0,19.0,34.08,34.86,38.39,33.29,34.8,13728826.0,20.0,1.0,1.0,31.77,16058800.0,13:48:00,2.0,0,0.0999054522534,7303315.69512,37.88,21669642.0,19.68,False,False
600191.XSHG_2017-07-21,1.0253164557,2017-07-21 00:00:00,2017-07-20 00:00:00,600191.XSHG,13.64,13.85,15.07,13.16,13.74,43013368.0,7.0,14.36,14.79,15.0,13.15,13.42,51972840.0,8.0,15.8,15.8,15.8,14.02,14.15,56847789.0,9.0,16.55,17.38,17.38,16.03,16.2,76275407.0,10.0,1.0,1.0,14.04,50101500.0,14:12:00,1.0,0,0.100278551532,12433947.1807,13.73,71387766.0,8.29,False,False
600199.XSHG_2017-08-10,1.0,2017-08-10 00:00:00,2017-08-09 00:00:00,600199.XSHG,8.63,8.73,9.56,8.55,8.6,10454733.0,21.0,8.82,9.06,9.49,8.57,8.57,26989787.0,22.0,9.7,9.7,9.7,8.73,8.73,79950342.0,23.0,9.2,9.72,10.67,9.14,9.7,55893936.0,24.0,1.0,1.0,8.73,26808900.0,10:18:00,0.0,0,0.0997732426304,7399539.90588,9.76,29458403.0,7.26,False,False
600219.XSHG_2017-08-07,1.0097323601,2017-08-07 00:00:00,2017-08-04 00:00:00,600219.XSHG,3.81,3.93,4.13,3.72,3.76,332703999.0,18.0,3.74,3.92,4.19,3.73,3.79,295597136.0,19.0,4.11,4.11,4.11,3.72,3.75,694082820.0,20.0,4.29,4.35,4.52,4.08,4.15,839750666.0,21.0,1.0,1.0,3.72,413399100.0,14:10:00,0.0,0,0.0989304812834,79959298.5059,3.96,460034660.0,3.06,False,False
600230.XSHG_2017-07-20,0.999511121975,2017-07-20 00:00:00,2017-07-19 00:00:00,600230.XSHG,35.39,35.48,36.75,33.1,33.2,26602521.0,6.0,37.19,37.39,38.93,35.24,35.58,34562346.0,7.0,40.91,40.91,40.91,37.02,37.4,45678914.0,8.0,43.26,44.47,45.0,40.12,40.89,39840493.0,9.0,1.0,1.0,37.05,20465200.0,10:29:00,0.0,0,0.100026888949,14829008.6375,35.29,40232767.0,23.02,False,False
600230.XSHG_2017-07-25,1.03411053541,2017-07-25 00:00:00,2017-07-24 00:00:00,600230.XSHG,43.26,44.47,45.0,40.12,40.89,39840493.0,9.0,42.11,45.83,47.59,41.9,43.0,39822153.0,10.0,46.32,46.32,46.32,42.53,43.0,38763079.0,11.0,49.9,50.95,50.95,46.9,47.9,48303382.0,12.0,1.0,1.0,42.57,36068100.0,14:29:00,1.0,0,0.100026888949,15541466.2658,40.91,45678914.0,23.02,False,False
600230.XSHG_2017-07-31,1.00828381055,2017-07-31 00:00:00,2017-07-28 00:00:00,600230.XSHG,50.83,52.49,54.89,47.92,49.54,42852568.0,13.0,50.48,51.46,55.91,48.11,50.55,38033496.0,14.0,55.53,55.53,55.53,48.29,48.68,42873516.0,15.0,55.07,57.86,61.08,54.09,55.99,41722124.0,16.0,1.0,1.0,48.29,33035700.0,13:26:00,2.0,0,0.100039619651,16296996.5714,50.95,48303382.0,23.02,False,False
600231.XSHG_2017-08-09,0.95652173913,2017-08-09 00:00:00,2017-08-08 00:00:00,600231.XSHG,5.01,5.16,5.37,4.6,5.1,223748674.0,20.0,4.81,5.01,5.51,4.72,4.88,151199081.0,21.0,5.29,5.29,5.29,4.58,4.73,177651772.0,22.0,5.17,5.53,5.82,5.01,5.06,165450128.0,23.0,1.0,1.0,4.58,131168900.0,14:15:00,1.0,0,0.100985221675,30067633.8554,4.92,198769363.0,2.76,False,False
600282.XSHG_2017-07-31,0.99209486166,2017-07-31 00:00:00,2017-07-28 00:00:00,600282.XSHG,4.5,4.64,4.99,4.4,4.49,119156616.0,13.0,4.6,4.63,4.95,4.4,4.49,106412682.0,14.0,4.99,5.06,5.06,4.67,4.67,208538059.0,15.0,5.04,5.13,5.49,4.9,5.02,139258012.0,16.0,1.0,1.0,4.68,194786400.0,14:36:00,0.0,0,0.0847826086957,49600391.1176,4.7,284594785.0,3.02,False,False
600291.XSHG_2017-07-21,1.00460962259,2017-07-21 00:00:00,2017-07-20 00:00:00,600291.XSHG,29.22,29.28,31.74,28.41,28.85,58948713.0,7.0,31.55,32.08,32.14,28.62,29.03,78537619.0,8.0,34.71,34.71,34.71,31.21,31.56,90401196.0,9.0,33.91,37.83,38.18,33.0,34.87,121472380.0,10.0,1.0,1.0,31.21,74526500.0,14:14:00,0.0,0,0.100158478605,25801955.8537,29.8,109475997.0,13.81,False,False
600316.XSHG_2017-08-04,1.00859291085,2017-08-04 00:00:00,2017-08-03 00:00:00,600316.XSHG,17.0,17.15,19.03,16.63,17.15,21114318.0,17.0,16.93,17.09,18.7,16.81,16.89,11260538.0,18.0,18.62,18.62,18.62,17.06,17.06,39901397.0,19.0,18.84,18.86,20.48,18.12,18.78,32875298.0,20.0,1.0,1.0,17.09,36330200.0,13:28:00,1.0,0,0.0998227997637,9244018.44706,23.44,38842525.0,14.3,False,False
600326.XSHG_2017-07-19,1.0,2017-07-19 00:00:00,2017-07-18 00:00:00,600326.XSHG,11.76,12.38,13.3,11.29,12.1,193017848.0,5.0,11.96,12.7,12.94,11.4,11.49,196009031.0,6.0,13.16,13.16,13.16,11.82,11.82,210617797.0,7.0,12.72,13.16,14.48,12.55,13.16,199227443.0,8.0,1.0,1.0,11.85,200825600.0,13:52:00,2.0,1,0.100378787879,56824659.1951,12.4,252560921.0,7.41,False,False
600326.XSHG_2017-08-04,0.964204112719,2017-08-04 00:00:00,2017-08-03 00:00:00,600326.XSHG,11.99,12.44,14.0,11.87,12.41,140811380.0,17.0,11.94,12.16,13.19,11.64,11.83,79388971.0,18.0,12.82,13.13,13.13,11.94,11.94,209681341.0,19.0,12.52,12.79,14.1,12.1,12.66,126320102.0,20.0,1.0,1.0,11.98,168500100.0,14:04:00,3.0,1,0.0737018425461,70901299.1341,13.16,252560921.0,7.41,False,False
600354.XSHG_2017-08-08,0.976239669421,2017-08-08 00:00:00,2017-08-07 00:00:00,600354.XSHG,8.69,9.05,9.88,8.66,8.97,31213844.0,19.0,8.8,8.8,9.56,8.43,8.68,26870388.0,20.0,9.58,9.68,9.68,8.66,8.72,83184461.0,21.0,9.35,9.52,10.54,9.21,9.45,49722974.0,22.0,1.0,1.0,8.66,66972300.0,14:38:00,1.0,0,0.0886363636364,21460668.1548,10.29,107855880.0,6.46,False,False
600385.XSHG_2017-07-21,1.00662690524,2017-07-21 00:00:00,2017-07-20 00:00:00,600385.XSHG,13.49,13.53,14.82,12.96,13.2,3075497.0,7.0,13.72,13.92,14.84,13.3,13.3,3529041.0,8.0,15.09,15.09,15.09,14.18,14.18,4682333.0,9.0,15.43,15.9,16.6,15.16,15.19,12358148.0,10.0,1.0,1.0,14.27,2343000.0,09:34:00,0.0,0,0.0998542274052,2240454.72941,21.45,10109826.0,12.25,False,False
600389.XSHG_2017-07-31,,2017-07-31 00:00:00,2017-07-28 00:00:00,600389.XSHG,18.96,19.99,20.9,18.9,18.9,7248709.0,13.0,19.18,19.2,20.86,18.64,18.86,3147331.0,14.0,21.05,21.1,21.1,19.3,19.3,12934118.0,15.0,,,,,,,,1.0,1.0,19.37,11178100.0,14:38:00,0.0,0,0.0974973931178,1611686.44706,19.56,6090018.0,14.53,False,False
600392.XSHG_2017-08-07,1.03375337534,2017-08-07 00:00:00,2017-08-04 00:00:00,600392.XSHG,21.52,21.6,22.17,19.88,19.9,108634395.0,18.0,20.2,22.68,23.67,19.73,21.4,129774412.0,19.0,22.22,22.22,22.22,20.21,20.5,131857969.0,20.0,23.44,24.35,24.44,22.52,22.97,165956092.0,21.0,1.0,1.0,20.23,94215200.0,13:06:00,1.0,0,0.1,26726912.3253,22.1,137876933.0,10.71,False,False
600401.XSHG_2017-08-11,,2017-08-11 00:00:00,2017-08-10 00:00:00,600401.XSHG,1.41,1.42,1.49,1.4,1.41,34080500.0,22.0,1.43,1.44,1.48,1.4,1.41,72956841.0,23.0,1.5,1.5,1.5,1.42,1.43,184002560.0,24.0,,,,,,,,1.0,1.0,1.42,46953000.0,09:49:00,1.0,0,0.048951048951,52834736.3659,2.43,195902618.0,1.31,True,False
600425.XSHG_2017-07-14,1.01069518717,2017-07-14 00:00:00,2017-07-13 00:00:00,600425.XSHG,3.42,3.46,3.62,3.29,3.45,34311776.0,2.0,3.56,3.58,3.59,3.39,3.42,40445299.0,3.0,3.74,3.74,3.74,3.53,3.55,51488959.0,4.0,3.61,3.85,3.93,3.55,3.78,68887680.0,5.0,1.0,1.0,3.53,46457300.0,14:51:00,0.0,0,0.0505617977528,57509409.025,8.29,369535161.0,2.94,True,False
600507.XSHG_2017-07-31,1.01151315789,2017-07-31 00:00:00,2017-07-28 00:00:00,600507.XSHG,10.61,11.29,11.92,10.55,10.68,67604020.0,13.0,11.05,11.1,11.67,10.02,10.53,58164463.0,14.0,12.16,12.16,12.16,11.17,11.17,102406471.0,15.0,11.77,12.35,13.38,11.55,12.3,82704260.0,16.0,1.0,1.0,11.18,53932000.0,10:15:00,2.0,1,0.100452488688,22018481.0833,11.94,116561108.0,6.13,False,False
600507.XSHG_2017-08-07,1.01658255227,2017-08-07 00:00:00,2017-08-04 00:00:00,600507.XSHG,13.19,13.22,13.23,11.56,11.68,72381931.0,18.0,12.61,14.25,14.51,12.44,13.13,95778115.0,19.0,13.87,13.87,13.87,12.72,13.06,72111337.0,20.0,14.37,14.61,15.26,13.5,14.1,92057253.0,21.0,1.0,1.0,12.72,67716300.0,14:18:00,3.0,1,0.0999206978588,24610090.3855,12.59,116561108.0,6.13,False,False
600516.XSHG_2017-07-24,0.983416891631,2017-07-24 00:00:00,2017-07-21 00:00:00,600516.XSHG,23.8,24.83,25.55,23.1,23.1,203979952.0,8.0,23.57,24.49,26.18,23.38,23.6,140948119.0,9.0,25.93,25.93,25.93,23.77,23.89,196911405.0,10.0,27.49,28.17,28.52,24.42,25.5,239065091.0,11.0,1.0,1.0,23.79,184282000.0,14:44:00,0.0,0,0.100127280441,64396891.6296,23.49,289686960.0,8.66,False,False
600516.XSHG_2017-07-28,1.04564584008,2017-07-28 00:00:00,2017-07-27 00:00:00,600516.XSHG,28.52,29.85,30.24,27.0,27.0,236609675.0,12.0,28.08,29.09,31.37,27.58,28.98,169118018.0,13.0,30.89,30.89,30.89,28.61,29.0,207799757.0,14.0,33.98,33.98,33.98,31.31,32.3,229889592.0,15.0,1.0,1.0,28.7,192736800.0,14:44:00,1.0,0,0.100127280441,71049433.4,28.17,289686960.0,8.66,False,False
600604.XSHG_2017-08-10,1.02173913043,2017-08-10 00:00:00,2017-08-09 00:00:00,600604.XSHG,8.87,8.92,9.5,8.34,8.5,34666674.0,21.0,8.78,8.85,9.76,8.55,8.71,29930948.0,22.0,9.66,9.66,9.66,8.79,8.8,55235830.0,23.0,10.07,10.6,10.63,9.8,9.87,91628394.0,24.0,1.0,1.0,8.8,28112000.0,09:47:00,3.0,1,0.100227790433,8709417.9759,9.69,72410111.0,6.06,False,False
600636.XSHG_2017-08-09,1.02150537634,2017-08-09 00:00:00,2017-08-08 00:00:00,600636.XSHG,13.82,15.25,15.28,13.82,15.25,22708004.0,1.0,14.17,14.24,14.51,13.37,13.5,19421312.0,2.0,14.88,14.88,14.88,14.08,14.17,11379702.0,3.0,15.62,15.62,15.62,15.01,15.2,7864078.0,4.0,1.0,1.0,14.08,3219800.0,09:54:00,0.0,0,0.0616113744076,11481390.369,16.87,25795666.0,10.57,True,False
600696.XSHG_2017-07-31,0.988555078684,2017-07-31 00:00:00,2017-07-28 00:00:00,600696.XSHG,6.75,6.77,7.09,6.66,6.72,1745002.0,13.0,6.66,6.77,7.09,6.66,6.77,1594306.0,14.0,6.99,6.99,6.99,6.75,6.75,6770580.0,15.0,6.79,6.96,7.34,6.72,6.91,5575444.0,16.0,1.0,1.0,6.75,1943400.0,09:46:00,0.0,0,0.0495495495495,6272158.41975,12.32,42571919.0,6.07,True,False
600740.XSHG_2017-07-28,1.03040935673,2017-07-28 00:00:00,2017-07-27 00:00:00,600740.XSHG,8.09,8.27,8.61,7.67,7.77,59210290.0,12.0,7.77,8.07,8.9,7.6,7.96,43199548.0,13.0,8.55,8.55,8.55,7.67,7.68,86402376.0,14.0,9.19,9.35,9.41,8.63,8.81,126405003.0,15.0,1.0,1.0,7.67,75955400.0,13:08:00,0.0,0,0.100386100386,15156613.1548,8.38,76471578.0,5.74,False,False
600740.XSHG_2017-08-02,0.940695296524,2017-08-02 00:00:00,2017-08-01 00:00:00,600740.XSHG,9.19,9.35,9.41,8.63,8.81,126405003.0,15.0,8.89,9.15,10.11,8.73,9.12,76157566.0,16.0,9.46,9.78,9.78,8.79,8.95,134868033.0,17.0,9.4,9.42,10.41,9.0,9.2,83954096.0,18.0,1.0,1.0,8.8,90849200.0,11:29:00,1.0,0,0.100386100386,16016583.7952,8.55,86402376.0,5.74,False,False
600747.XSHG_2017-07-19,1.0,2017-07-19 00:00:00,2017-07-18 00:00:00,600747.XSHG,2.48,2.67,2.74,2.48,2.62,19105100.0,5.0,2.49,2.5,2.6,2.43,2.44,15274301.0,6.0,2.61,2.61,2.61,2.47,2.48,21099526.0,7.0,2.64,2.7,2.74,2.6,2.61,21035869.0,8.0,1.0,1.0,2.47,9173100.0,11:17:00,0.0,0,0.0498084291188,21926577.8659,5.45,104257209.0,2.26,True,False
600782.XSHG_2017-07-31,1.00200803213,2017-07-31 00:00:00,2017-07-28 00:00:00,600782.XSHG,4.42,4.69,5.09,4.36,4.55,87649460.0,13.0,4.53,4.56,4.86,4.35,4.42,59079416.0,14.0,4.96,4.98,4.98,4.6,4.6,137080212.0,15.0,5.02,5.08,5.46,4.89,4.99,80422963.0,16.0,1.0,1.0,4.64,110821200.0,13:27:00,0.0,0,0.0949227373068,43097158.5176,4.98,131407757.0,2.96,False,False
600792.XSHG_2017-08-02,0.996350364964,2017-08-02 00:00:00,2017-08-01 00:00:00,600792.XSHG,5.19,5.22,5.52,5.0,5.04,27690984.0,15.0,4.98,5.15,5.71,4.92,5.15,21047891.0,16.0,5.48,5.48,5.48,4.95,4.98,64416462.0,17.0,5.56,5.58,6.03,5.34,5.46,60537900.0,18.0,1.0,1.0,4.95,23071200.0,13:16:00,1.0,0,0.100401606426,6643821.72941,5.66,53778863.0,4.07,False,False
600792.XSHG_2017-08-09,0.994923857868,2017-08-09 00:00:00,2017-08-08 00:00:00,600792.XSHG,5.47,5.5,5.87,5.13,5.3,34636713.0,20.0,5.37,5.6,6.02,5.33,5.42,33835206.0,21.0,5.91,5.91,5.91,5.33,5.38,57136874.0,22.0,5.9,5.93,6.5,5.7,5.88,52821218.0,23.0,1.0,1.0,5.33,47252900.0,14:05:00,2.0,0,0.100558659218,7953355.19048,5.8,64416462.0,4.07,False,False
600801.XSHG_2017-08-10,0.973646723647,2017-08-10 00:00:00,2017-08-09 00:00:00,600801.XSHG,12.74,12.92,13.82,12.38,12.48,44491571.0,21.0,12.76,13.18,14.01,12.51,13.1,39777752.0,22.0,14.04,14.04,14.04,12.66,12.7,96800563.0,23.0,12.69,13.95,15.44,12.64,13.67,78882063.0,24.0,1.0,1.0,12.67,90791800.0,14:53:00,0.0,0,0.100313479624,26086823.6786,13.7,98723473.0,7.53,False,False
600814.XSHG_2017-07-18,0.979571984436,2017-07-18 00:00:00,2017-07-17 00:00:00,600814.XSHG,9.94,10.0,10.89,9.63,9.87,12976514.0,4.0,9.34,9.82,10.93,8.95,9.8,13892990.0,5.0,10.28,10.28,10.28,9.16,9.27,25049523.0,6.0,10.31,10.55,11.31,10.03,10.07,30630848.0,7.0,1.0,1.0,9.16,15272256.0,14:30:00,1.0,0,0.100642398287,5620044.57143,12.45,35990440.0,8.05,False,False
600844.XSHG_2017-08-04,1.01694915254,2017-08-04 00:00:00,2017-08-03 00:00:00,600844.XSHG,7.13,7.28,7.4,7.0,7.08,4446893.0,17.0,7.3,7.33,7.49,7.13,7.13,4447199.0,18.0,7.67,7.67,7.67,7.47,7.48,8377839.0,19.0,7.73,7.82,8.05,7.52,7.8,6091200.0,20.0,1.0,1.0,7.47,1315500.0,09:31:00,0.0,0,0.0506849315068,2549631.0241,8.15,10284914.0,6.11,True,False
