,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
000970.XSHE_2017-08-09,0.973698053656,2017-08-09 00:00:00,2017-08-08 00:00:00,000970.XSHE,17.49,17.6,18.38,16.65,16.78,75256415.0,20.0,17.28,18.1,19.24,17.1,17.6,98532918.0,21.0,18.78,19.01,19.01,16.98,17.18,147106772.0,22.0,18.23,18.58,20.66,17.88,18.51,116810135.0,23.0,1.0,1.0,17.0,123050600.0,14:40:00,0.0,0,0.0868055555556,28682983.7143,18.48,159640155.0,11.92,False,False
002134.XSHE_2017-08-10,1.00387221684,2017-08-10 00:00:00,2017-08-09 00:00:00,002134.XSHE,10.13,10.39,10.45,9.83,9.83,4649901.0,21.0,9.84,10.17,10.64,9.77,10.13,3554600.0,22.0,10.33,10.33,10.33,9.64,9.88,4311145.0,23.0,10.23,10.77,10.85,10.21,10.37,6308627.0,24.0,1.0,1.0,9.66,3692300.0,14:42:00,0.0,0,0.0497967479675,5092276.60241,17.69,20831785.0,8.22,True,False
002158.XSHE_2017-08-08,0.93061440678,2017-08-08 00:00:00,2017-08-07 00:00:00,002158.XSHE,16.58,17.48,18.35,16.35,16.55,33776692.0,19.0,17.16,17.35,18.24,16.58,16.6,34764260.0,20.0,17.83,18.88,18.88,17.58,18.6,65036154.0,21.0,17.43,18.05,19.61,17.4,17.57,41661784.0,22.0,1.0,1.0,18.65,12485200.0,09:30:00,0.0,0,0.0390442890443,48661297.2639,23.56,143770080.0,10.4,False,False
002160.XSHE_2017-08-07,1.04243743199,2017-08-07 00:00:00,2017-08-04 00:00:00,002160.XSHE,8.38,8.38,8.89,7.98,7.99,31799300.0,18.0,8.35,8.68,9.22,8.28,8.3,39017339.0,19.0,9.19,9.19,9.19,8.18,8.35,36506443.0,20.0,9.61,9.97,10.11,9.36,9.58,106400822.0,21.0,1.0,1.0,8.18,23063000.0,13:30:00,1.0,0,0.100598802395,6988958.31765,9.29,41912473.0,6.31,False,False
002161.XSHE_2017-07-17,0.974290780142,2017-07-17 00:00:00,2017-07-14 00:00:00,002161.XSHE,11.04,11.09,12.01,10.11,10.54,123241154.0,3.0,10.25,10.85,12.14,10.22,10.79,77228620.0,4.0,11.28,11.28,11.28,9.83,10.07,165359070.0,5.0,11.33,11.43,12.41,10.62,10.99,133584458.0,6.0,1.0,1.0,9.85,49517700.0,09:55:00,0.0,0,0.100487804878,9382521.2375,12.16,154132700.0,7.36,False,False
002161.XSHE_2017-07-28,0.962510187449,2017-07-28 00:00:00,2017-07-27 00:00:00,002161.XSHE,10.73,11.04,11.79,10.48,10.66,64873443.0,12.0,11.15,11.49,11.8,10.14,10.56,101273688.0,13.0,11.91,12.27,12.27,10.83,10.99,136276769.0,14.0,13.09,13.1,13.1,11.7,11.81,142342357.0,15.0,1.0,1.0,10.85,119902900.0,14:31:00,1.0,0,0.0681614349776,20454465.4051,12.16,165359070.0,7.36,False,False
002199.XSHE_2017-08-10,0.912881144991,2017-08-10 00:00:00,2017-08-09 00:00:00,002199.XSHE,14.73,14.84,15.71,14.2,14.28,1242429.0,21.0,14.61,14.89,16.2,14.45,14.89,513734.0,22.0,14.59,16.07,16.07,14.28,14.86,629445.0,23.0,14.16,14.85,16.05,14.16,14.67,734900.0,24.0,1.0,1.0,,,,1.0,0,0.031512605042,2136500.50588,21.29,12186730.0,12.5,False,False
002207.XSHE_2017-07-21,0.982876712329,2017-07-21 00:00:00,2017-07-20 00:00:00,002207.XSHE,8.35,8.42,8.64,8.01,8.15,6440286.0,7.0,8.34,8.46,8.77,8.21,8.25,4684210.0,8.0,8.66,8.76,8.76,8.2,8.26,10671446.0,9.0,9.09,9.09,9.09,8.61,8.61,20653469.0,10.0,1.0,1.0,8.2,4050100.0,10:09:00,0.0,0,0.0497175141243,8635990.2439,18.77,37522163.0,7.99,True,False
002207.XSHE_2017-08-10,1.0119695321,2017-08-10 00:00:00,2017-08-09 00:00:00,002207.XSHE,8.63,8.7,9.14,8.55,8.68,4866469.0,21.0,8.75,8.83,9.06,8.52,8.61,6123500.0,22.0,9.19,9.19,9.19,8.97,9.1,7522020.0,23.0,9.11,9.6,9.65,9.06,9.3,19590703.0,24.0,1.0,1.0,8.97,4068500.0,09:35:00,2.0,0,0.0502857142857,9498373.08861,18.77,37522163.0,7.99,True,False
002234.XSHE_2017-07-18,0.977751052315,2017-07-18 00:00:00,2017-07-17 00:00:00,002234.XSHE,15.14,15.51,16.98,14.97,15.44,15931360.0,4.0,15.12,16.14,16.65,13.63,15.06,24147562.0,5.0,16.63,16.63,16.63,15.21,15.51,25354307.0,6.0,17.2,17.2,18.29,16.24,16.26,28064661.0,7.0,1.0,1.0,15.22,22493100.0,14:46:00,1.0,0,0.0998677248677,7220808.3494,21.0,24970745.0,10.37,False,False
002234.XSHE_2017-08-08,0.984682713348,2017-08-08 00:00:00,2017-08-07 00:00:00,002234.XSHE,17.34,18.6,20.25,17.2,18.43,17833669.0,19.0,16.62,17.58,19.07,16.22,17.37,20846609.0,20.0,18.26,18.28,18.28,16.33,16.63,28015823.0,21.0,17.43,18.14,20.09,17.31,18.0,15018802.0,22.0,1.0,1.0,16.33,22911200.0,14:31:00,2.0,0,0.0986762936221,8769677.5122,19.68,28064661.0,10.37,False,False
002282.XSHE_2017-07-18,0.998394863563,2017-07-18 00:00:00,2017-07-17 00:00:00,002282.XSHE,18.88,19.48,20.97,18.76,18.82,11134747.0,4.0,16.99,18.7,20.77,16.99,18.7,16891897.0,5.0,18.69,18.69,18.69,16.61,16.8,28700209.0,6.0,18.7,18.89,20.56,18.2,18.66,25730124.0,7.0,1.0,1.0,16.66,11944800.0,11:09:00,0.0,0,0.100105932203,22606785.0,26.69,75888049.0,12.61,False,False
002285.XSHE_2017-07-26,1.03700097371,2017-07-26 00:00:00,2017-07-25 00:00:00,002285.XSHE,9.32,9.71,10.15,9.02,9.11,106560381.0,10.0,9.34,9.47,10.25,9.07,9.31,53993604.0,11.0,10.27,10.27,10.27,9.31,9.59,89790593.0,12.0,10.8,11.3,11.3,10.52,10.65,181172100.0,13.0,1.0,1.0,9.32,72764000.0,13:35:00,0.0,0,0.0995717344754,11629223.0235,9.35,96329381.0,7.07,False,False
