,change,date,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,minute_low,minute_volume,minute,circap,isnew,capq,st
300374.XSHE_2017-05-16,1.09993060375,2017-05-16 00:00:00,300374.XSHE,23.82,24.68,25.29,22.69,22.85,13649181.0,8.0,26.2,26.2,26.2,24.05,24.8,11034855.0,9.0,28.82,28.82,28.82,27.85,28.01,10052097.0,10.0,28.99,31.7,31.7,28.5,31.7,30770863.0,11.0,2.0,28.4,0.0,09:30:00,1009.0,False,0.305479866788,False
300374.XSHE_2017-05-17,0.888643533123,2017-05-17 00:00:00,300374.XSHE,26.2,26.2,26.2,24.05,24.8,11034855.0,9.0,28.82,28.82,28.82,27.85,28.01,10052097.0,10.0,28.99,31.7,31.7,28.5,31.7,30770863.0,11.0,26.09,28.84,31.89,26.09,28.17,18110067.0,12.0,3.0,31.7,0.0,09:30:00,1007.5,False,0.305025734181,False
300419.XSHE_2017-05-04,1.00063938619,2017-05-04 00:00:00,300419.XSHE,12.93,12.93,12.93,11.65,11.8,5950816.0,0.0,14.22,14.22,14.22,13.54,13.54,29603339.0,1.0,15.64,15.64,15.64,14.11,14.78,57124318.0,2.0,14.7,16.19,17.2,14.55,15.65,53025066.0,3.0,3.0,14.12,45477200.0,14:16:00,824.5,False,0.249621556161,False
300479.XSHE_2017-05-16,0.969522968198,2017-05-16 00:00:00,300479.XSHE,18.71,19.2,21.09,18.39,19.2,2527947.0,8.0,20.58,20.58,20.58,19.2,19.3,3962308.0,9.0,22.04,22.64,22.64,20.75,21.0,11667559.0,10.0,21.45,21.97,24.24,21.18,21.95,7218346.0,11.0,2.0,,,,443.0,False,0.134120496518,False
300481.XSHE_2017-05-10,0.943703221608,2017-05-10 00:00:00,300481.XSHE,25.4,26.94,27.1,24.61,24.64,5763205.0,4.0,27.94,27.94,27.94,25.36,25.5,9595535.0,5.0,29.46,30.73,30.73,29.22,29.71,20013667.0,6.0,30.49,31.85,32.41,28.46,29.0,20989832.0,7.0,2.0,29.18,2773786.0,09:32:00,539.0,False,0.163184983348,False
300487.XSHE_2017-05-17,0.955772811918,2017-05-17 00:00:00,300487.XSHE,17.75,18.3,20.08,17.58,18.21,5189665.0,9.0,19.53,19.53,19.53,17.15,17.46,8463867.0,10.0,21.07,21.48,21.48,20.08,20.4,19189735.0,11.0,20.28,21.06,23.18,20.11,20.53,11435228.0,12.0,2.0,20.08,8914900.0,10:28:00,391.0,False,0.118377232819,False
300514.XSHE_2017-05-12,1.1286701209,2017-05-12 00:00:00,300514.XSHE,28.71,28.71,28.71,28.71,28.71,61452.0,6.0,31.58,31.58,31.58,31.58,31.58,161965.0,7.0,34.74,34.74,34.74,34.74,34.74,393919.0,8.0,38.21,38.21,38.21,38.21,38.21,383106.0,9.0,9.0,,,,75.5,True,0.0228580078716,False
300514.XSHE_2017-05-15,1.02617115938,2017-05-15 00:00:00,300514.XSHE,31.58,31.58,31.58,31.58,31.58,161965.0,7.0,34.74,34.74,34.74,34.74,34.74,393919.0,8.0,38.21,38.21,38.21,38.21,38.21,383106.0,9.0,38.24,40.0,42.03,36.77,39.21,15898690.0,10.0,10.0,,,,107.0,True,0.0323947926128,False
300534.XSHE_2017-05-08,0.850436557433,2017-05-08 00:00:00,300534.XSHE,72.88,75.45,83.45,72.32,74.93,3332581.0,2.0,80.17,80.17,80.17,76.55,78.0,1785936.0,3.0,79.0,88.19,88.19,79.0,86.5,7733989.0,4.0,85.5,86.89,86.9,73.57,75.0,7485700.0,5.0,2.0,24.69,1985366.0,09:31:00,388.5,False,0.117620345141,False
300546.XSHE_2017-05-15,0.96189568945,2017-05-15 00:00:00,300546.XSHE,34.7,35.12,40.25,32.93,33.88,3555151.0,7.0,38.17,38.17,38.17,34.51,34.51,2770512.0,8.0,40.39,41.99,41.99,39.71,41.9,11583468.0,9.0,44.43,44.43,44.43,40.35,40.39,14389958.0,10.0,2.0,41.5,1154500.0,09:31:00,276.0,False,0.0835603996367,False
