,change,date,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,minute_low,minute_volume,minute,circap,isnew,capq,st
000062.XSHE_2017-05-17,1.10013262599,2017-05-17 00:00:00,000062.XSHE,24.93,25.53,28.44,24.78,25.0,5525610.0,9.0,27.42,27.42,27.42,24.51,24.54,7673839.0,10.0,30.16,30.16,30.16,30.16,30.16,3607936.0,11.0,33.18,33.18,33.18,32.83,33.18,31208039.0,12.0,2.0,,,,2919.0,False,0.883742052679,False
000605.XSHE_2017-05-17,0.958192677227,2017-05-17 00:00:00,000605.XSHE,31.83,33.5,35.7,31.2,31.71,29696518.0,9.0,35.01,35.01,35.01,31.83,31.85,14683086.0,10.0,36.9,38.51,38.51,36.12,38.51,49564076.0,11.0,33.21,37.6,40.59,33.21,36.9,37850209.0,12.0,2.0,38.51,0.0,09:30:00,1481.0,False,0.448380260369,False
000659.XSHE_2017-05-17,0.935656836461,2017-05-17 00:00:00,000659.XSHE,3.38,3.46,3.61,3.27,3.4,40450943.0,8.0,3.55,3.55,3.55,3.29,3.33,31620046.0,9.0,3.59,3.73,3.73,3.54,3.6,37618029.0,10.0,3.49,3.6,3.77,3.41,3.49,16913000.0,11.0,2.0,3.56,10975900.0,10:02:00,1508.0,False,0.45655464729,True
000695.XSHE_2017-05-17,0.956585724798,2017-05-17 00:00:00,000695.XSHE,11.23,11.33,12.1,11.04,11.16,993659.0,9.0,12.35,12.35,12.35,11.04,11.27,4829332.0,10.0,13.18,13.59,13.59,12.48,12.5,9747297.0,11.0,12.75,13.03,14.5,12.4,13.0,5622075.0,12.0,2.0,12.5,5944100.0,13:00:00,799.5,False,0.242052679382,False
000710.XSHE_2017-05-04,1.00611705825,2017-05-04 00:00:00,000710.XSHE,65.5,67.0,67.06,62.89,66.0,7814623.0,0.0,68.5,68.78,68.78,64.2,66.29,4768580.0,1.0,71.93,71.93,71.93,68.0,68.79,4926261.0,2.0,69.7,74.66,75.53,69.13,72.37,5613771.0,3.0,1.0,68.11,3528400.0,13:52:00,2535.0,False,0.767484105359,True
000788.XSHE_2017-05-15,1.03225806452,2017-05-15 00:00:00,000788.XSHE,10.44,10.51,11.54,10.11,10.4,3605991.0,7.0,11.27,11.48,11.48,10.8,10.8,11032242.0,8.0,12.4,12.4,12.4,11.38,11.5,15529429.0,9.0,12.54,13.09,13.64,12.43,12.8,25464271.0,10.0,1.0,11.5,4181400.0,09:37:00,2117.5,False,0.641083863155,False
000803.XSHE_2017-05-16,1.0,2017-05-16 00:00:00,000803.XSHE,22.65,23.45,24.49,22.15,22.45,2275281.0,8.0,23.78,23.78,23.78,22.81,23.0,870735.0,9.0,24.97,24.97,24.97,24.27,24.6,1686941.0,10.0,25.02,25.99,26.22,24.82,24.97,2204665.0,11.0,2.0,24.27,343800.0,09:40:00,641.5,False,0.194217378141,True
000958.XSHE_2017-05-16,0.567594936709,2017-05-16 00:00:00,000958.XSHE,16.32,16.59,17.34,15.55,15.63,41219684.0,8.0,17.95,17.95,17.95,16.19,16.31,49950045.0,9.0,19.75,19.75,19.75,18.68,18.8,64719887.0,10.0,10.81,10.81,10.81,10.81,10.81,13481264.0,11.0,2.0,9.31,21977132.0,09:32:00,2023.0,False,0.612473508931,False
000958.XSHE_2017-05-17,1.03700277521,2017-05-17 00:00:00,000958.XSHE,17.95,17.95,17.95,16.19,16.31,49950045.0,9.0,19.75,19.75,19.75,18.68,18.8,64719887.0,10.0,10.81,10.81,10.81,10.81,10.81,13481264.0,11.0,10.0,11.49,11.89,9.9,11.21,312088238.0,12.0,3.0,,,,2142.0,False,0.648501362398,False
002137.XSHE_2017-05-04,0.993897122929,2017-05-04 00:00:00,002137.XSHE,9.48,9.7,10.18,9.08,9.3,6877133.0,0.0,10.43,10.43,10.43,9.29,9.49,23930147.0,1.0,11.47,11.47,11.47,10.23,10.46,38230021.0,2.0,11.61,11.76,12.62,10.9,11.4,45030934.0,3.0,2.0,10.23,26522100.0,14:42:00,924.0,False,0.27974568574,False
002158.XSHE_2017-05-15,1.03512014787,2017-05-15 00:00:00,002158.XSHE,17.88,18.14,19.61,16.54,17.14,79910972.0,7.0,19.67,19.67,19.67,17.71,17.85,115044261.0,8.0,21.64,21.64,21.64,20.08,20.22,76972872.0,9.0,22.75,23.25,23.8,20.92,22.4,131066675.0,10.0,2.0,20.12,44962000.0,09:46:00,2637.5,False,0.798516500151,False
002282.XSHE_2017-05-12,1.08803611738,2017-05-12 00:00:00,002282.XSHE,18.31,18.72,20.81,17.1,18.49,35610590.0,6.0,20.14,20.14,20.14,17.9,18.32,40442093.0,7.0,22.15,22.15,22.15,21.55,21.9,39396955.0,8.0,24.37,24.37,24.37,23.61,24.1,22941481.0,9.0,2.0,21.52,5563451.0,09:31:00,1378.0,False,0.417196488041,False
002282.XSHE_2017-05-15,1.06688551498,2017-05-15 00:00:00,002282.XSHE,20.14,20.14,20.14,17.9,18.32,40442093.0,7.0,22.15,22.15,22.15,21.55,21.9,39396955.0,8.0,24.37,24.37,24.37,23.61,24.1,22941481.0,9.0,26.48,26.69,26.77,24.81,26.0,75888049.0,10.0,3.0,23.97,0.0,09:30:00,1526.5,False,0.462155616107,False
002350.XSHE_2017-05-09,1.21026894866,2017-05-09 00:00:00,002350.XSHE,16.9,17.25,18.71,16.76,16.8,1600783.0,3.0,18.59,18.59,18.59,18.59,18.59,6786839.0,4.0,20.45,20.45,20.45,19.31,19.31,26092490.0,5.0,22.5,22.5,22.5,22.5,22.5,895214.0,6.0,2.0,19.39,4559200.0,09:31:00,1425.0,False,0.431425976385,False
002350.XSHE_2017-05-17,1.21022222222,2017-05-17 00:00:00,002350.XSHE,18.59,18.59,18.59,18.59,18.59,6786839.0,4.0,20.45,20.45,20.45,19.31,19.31,26092490.0,5.0,22.5,22.5,22.5,22.5,22.5,895214.0,6.0,24.75,24.75,24.75,24.75,24.75,1223379.0,7.0,3.0,,,,1585.5,False,0.480018165304,False
002379.XSHE_2017-05-09,1.02564102564,2017-05-09 00:00:00,002379.XSHE,6.72,6.79,6.97,6.5,6.58,17042961.0,3.0,7.06,7.06,7.06,6.65,6.72,29231110.0,4.0,7.41,7.41,7.41,7.0,7.06,17819028.0,5.0,7.4,7.78,7.78,7.4,7.6,38610853.0,6.0,2.0,7.06,5317500.0,09:36:00,1412.5,False,0.427641537996,True
002379.XSHE_2017-05-10,0.90616966581,2017-05-10 00:00:00,002379.XSHE,7.06,7.06,7.06,6.65,6.72,29231110.0,4.0,7.41,7.41,7.41,7.0,7.06,17819028.0,5.0,7.4,7.78,7.78,7.4,7.6,38610853.0,6.0,7.03,7.4,7.77,7.03,7.05,32358186.0,7.0,3.0,7.41,7155100.0,09:37:00,1434.0,False,0.434150772025,True
002379.XSHE_2017-05-15,0.969032258065,2017-05-15 00:00:00,002379.XSHE,7.03,7.4,7.77,7.03,7.05,32358186.0,7.0,7.38,7.38,7.38,7.12,7.19,17546883.0,8.0,7.61,7.75,7.75,7.52,7.75,26562838.0,9.0,7.98,7.98,7.99,7.46,7.51,22549404.0,10.0,2.0,7.56,4270600.0,09:37:00,1503.0,False,0.455040871935,True
002542.XSHE_2017-05-04,0.924744897959,2017-05-04 00:00:00,002542.XSHE,13.39,13.39,13.39,13.39,13.39,8782680.0,0.0,14.25,14.73,14.73,13.9,14.73,253257591.0,1.0,15.3,15.68,15.68,13.5,13.73,235721011.0,2.0,13.77,14.79,16.83,13.77,14.5,151111073.0,3.0,1.0,13.52,160665100.0,11:16:00,2411.0,False,0.729942476536,False
002616.XSHE_2017-05-16,1.09868421053,2017-05-16 00:00:00,002616.XSHE,21.35,21.77,23.25,20.8,20.99,10766611.0,8.0,23.49,23.49,23.49,21.45,21.73,15559298.0,9.0,25.84,25.84,25.84,23.88,24.0,34040808.0,10.0,28.42,28.42,28.42,27.58,28.39,51116103.0,11.0,2.0,11.96,60167800.0,14:20:00,1872.0,False,0.566757493188,False
002616.XSHE_2017-05-17,0.960591133005,2017-05-17 00:00:00,002616.XSHE,23.49,23.49,23.49,21.45,21.73,15559298.0,9.0,25.84,25.84,25.84,23.88,24.0,34040808.0,10.0,28.42,28.42,28.42,27.58,28.39,51116103.0,11.0,27.28,27.8,31.26,25.64,27.3,47070654.0,12.0,3.0,13.79,16672800.0,09:31:00,1999.5,False,0.605358764759,False
002633.XSHE_2017-05-04,0.979602243753,2017-05-04 00:00:00,002633.XSHE,16.22,16.34,17.56,15.94,15.97,1356404.0,0.0,17.83,17.84,17.84,16.09,16.22,7761672.0,1.0,19.2,19.61,19.61,17.63,17.73,15820580.0,2.0,18.95,19.67,21.12,18.68,19.21,5880873.0,3.0,1.0,17.69,7823500.0,14:35:00,347.5,False,0.105207387224,False
002795.XSHE_2017-05-05,1.01632522407,2017-05-05 00:00:00,002795.XSHE,51.64,52.0,54.45,49.54,49.58,3201211.0,1.0,56.8,56.8,56.8,52.1,53.0,5090866.0,2.0,62.48,62.48,62.48,58.8,60.0,8021647.0,3.0,57.35,64.2,68.73,56.23,63.5,7594341.0,4.0,2.0,29.73,3547038.0,09:35:00,460.0,False,0.139267332728,False
002837.XSHE_2017-05-17,0.945041322314,2017-05-17 00:00:00,002837.XSHE,60.0,61.2,65.84,59.06,59.61,2540048.0,9.0,66.0,66.0,66.0,60.03,60.4,3473139.0,10.0,68.95,72.6,72.6,68.0,68.2,6518737.0,11.0,67.6,72.47,75.85,67.0,68.61,5444340.0,12.0,2.0,68.1,3647000.0,10:48:00,269.0,False,0.0814411141387,False
002863.XSHE_2017-05-04,1.09942299157,2017-05-04 00:00:00,002863.XSHE,18.62,18.62,18.62,18.62,18.62,122892.0,0.0,20.48,20.48,20.48,20.48,20.48,498554.0,1.0,22.53,22.53,22.53,22.53,22.53,801254.0,2.0,23.17,24.77,24.78,23.04,24.77,33105918.0,3.0,3.0,,,,205.5,True,0.0622161671208,False
002865.XSHE_2017-05-09,1.04166666667,2017-05-09 00:00:00,002865.XSHE,25.39,25.39,25.39,25.39,25.39,58966.0,3.0,27.93,27.93,27.93,26.65,27.93,10509448.0,4.0,30.72,30.72,30.72,26.95,27.5,12791387.0,5.0,33.79,33.79,33.79,32.0,32.0,13329509.0,6.0,6.0,27.0,3686300.0,09:34:00,91.5,True,0.02770208901,False
002865.XSHE_2017-05-10,0.947025747263,2017-05-10 00:00:00,002865.XSHE,27.93,27.93,27.93,26.65,27.93,10509448.0,4.0,30.72,30.72,30.72,26.95,27.5,12791387.0,5.0,33.79,33.79,33.79,32.0,32.0,13329509.0,6.0,37.17,37.17,37.17,31.5,32.0,18743646.0,7.0,7.0,32.2,4036200.0,09:33:00,138.5,True,0.0419315773539,False
002865.XSHE_2017-05-11,1.04761904762,2017-05-11 00:00:00,002865.XSHE,30.72,30.72,30.72,26.95,27.5,12791387.0,5.0,33.79,33.79,33.79,32.0,32.0,13329509.0,6.0,37.17,37.17,37.17,31.5,32.0,18743646.0,7.0,38.0,39.0,40.89,35.2,38.94,18733085.0,8.0,8.0,31.88,16809800.0,14:28:00,178.0,True,0.0538904026642,False
002868.XSHE_2017-05-12,1.07733770799,2017-05-12 00:00:00,002868.XSHE,35.26,35.26,35.26,35.26,35.26,40950.0,5.0,38.79,38.79,38.79,38.79,38.79,1170910.0,6.0,42.67,42.67,42.67,41.43,42.0,5155942.0,7.0,42.98,45.97,46.94,41.87,45.97,17519293.0,8.0,8.0,41.58,0.0,09:30:00,253.0,True,0.0765970330003,False
300021.XSHE_2017-05-17,0.989010989011,2017-05-17 00:00:00,300021.XSHE,20.31,20.85,22.42,20.0,20.1,8786160.0,9.0,22.34,22.34,22.34,20.01,20.12,9247244.0,10.0,23.68,24.57,24.57,23.41,24.5,33446814.0,11.0,25.54,26.05,26.05,23.99,24.3,47655589.0,12.0,2.0,24.4,0.0,09:30:00,1240.0,False,0.375416288223,False
