,win_ratio,mean,count
~jump1-~yz0-top0-opentop0-~opentop1-top1-5,0.833333333333,1.04245127044,18
speedup2-~opentop0-top0-~yz1-top1-opentop1-3,0.636363636364,1.02034574402,11
speedup2-~opentop0-top0-~yz1-top1-opentop1-4,0.7,1.03570032687,10
speedup2-yz0-~opentop1-top1-3,0.75,1.04853974849,20
speedup2-yz0-~opentop1-top1-4,0.833333333333,1.03921455625,12
speedup2-~yz0-top0-opentop0-~opentop1-top1-3,0.7,1.02976240915,10
speedup2-~yz0-top0-opentop0-~opentop1-top1-5,0.642857142857,1.02958054612,14
jump2-yz0-yz1-6,0.636363636364,1.02149390079,33
jump2-yz0-~opentop1-top1-3,0.717948717949,1.03897478715,39
jump2-yz0-~opentop1-top1-4,0.705882352941,1.024792886,17
jump2-~yz0-top0-opentop0-~opentop1-top1-3,0.733333333333,1.02928909168,15
foot0-~opentop0-top0-~opentop1-top1-6,0.727272727273,1.02553285259,11
foot2-yz0-~opentop1-top1-3,0.736842105263,1.05043158132,19
more_wave-yz0-~yz1-top1-opentop1-3,0.857142857143,1.02797238496,14
more_wave-~yz0-top0-opentop0-~opentop1-top1-3,0.666666666667,1.0364307968,12
more_nearby-yz0-~yz1-top1-opentop1-3,0.75,1.02644516708,12
more_nearby-~yz0-top0-opentop0-~opentop1-top1-3,0.714285714286,1.04392722072,14
small_volume-yz0-~yz1-top1-opentop1-3,0.692307692308,1.03411469526,26
small_volume-yz0-~yz1-top1-opentop1-4,0.833333333333,1.02957813497,24
small_volume-yz0-~yz1-top1-opentop1-7,0.727272727273,1.03782516303,11
small_volume-yz0-~opentop1-top1-3,0.780487804878,1.04662050922,41
small_volume-yz0-~opentop1-top1-4,0.68,1.02327133347,25
small_volume-~yz0-top0-opentop0-~opentop1-top1-3,0.608695652174,1.02639393713,23
~opentop2-~jump1-~yz0-top0-opentop0-5,0.789473684211,1.03137496256,19
~opentop2-speedup2-yz0-3,0.75,1.04661354759,20
~opentop2-speedup2-yz0-4,0.8,1.02727804335,15
~opentop2-speedup2-~yz0-top0-opentop0-5,0.666666666667,1.02727833968,15
~opentop2-jump2-yz0-6,0.611111111111,1.03300051755,18
~opentop2-jump2-~yz0-top0-opentop0-3,0.625,1.02872331786,16
~opentop2-foot0-~opentop0-top0-6,0.727272727273,1.0218757363,11
~opentop2-foot1-~yz0-top0-opentop0-3,0.8,1.04388194222,10
opentop2-~foot1-yz0-3,0.833333333333,1.04951762648,12
~opentop2-foot2-yz0-3,0.648648648649,1.02337844597,37
~opentop2-foot2-~opentop0-top0-4,0.704545454545,1.02272597776,44
~opentop2-small_volume-yz0-7,0.722222222222,1.0421640507,18
~opentop2-small_volume-~yz0-top0-opentop0-5,0.7,1.02320648972,20
~speedup1-~jump1-~yz0-top0-opentop0-5,0.823529411765,1.03908361032,17
speedup1-foot2-~top0-1,0.7,1.02256554981,20
