,win_ratio,mean,count
opentop0-opentop1-2,0.6875,1.02592515245,16
opentop0-foot1-1,0.769230769231,1.02844401782,13
opentop0-speedup2-7,0.764705882353,1.03238045497,17
opentop1-speedup2-4,0.74358974359,1.02552672805,39
yz0-speedup2-3,0.625,1.03967281156,24
yz0-speedup2-7,0.727272727273,1.03402946652,11
foot2-speedup1-6,0.714285714286,1.02010332276,14
opentop0-opentop1-notyz0-2,0.6875,1.02592515245,16
opentop0-opentop1-notyz1-2,0.818181818182,1.04667229449,11
opentop0-opentop1-top1-2,0.6875,1.02592515245,16
opentop0-opentop1-nottop0-2,0.6875,1.02592515245,16
opentop0-opentop1-minute-2,0.666666666667,1.02488149317,15
opentop0-opentop1-volume-2,0.7,1.02815848826,10
opentop0-opentop2-notyz1-3,0.676470588235,1.03501065666,34
opentop0-notyz0-foot1-1,0.75,1.02940051364,12
opentop0-notyz0-foot2-4,0.7,1.02557798693,20
opentop0-notyz0-foot2-5,0.7,1.02754120756,20
opentop0-notyz0-speedup2-1,0.642857142857,1.02415146703,42
opentop0-notyz0-speedup2-5,0.694444444444,1.02220640141,36
opentop0-notyz1-foot1-1,0.769230769231,1.02844401782,13
opentop0-notyz1-foot2-3,0.638888888889,1.02657973229,36
opentop0-notyz1-speedup1-5,0.666666666667,1.02898876202,21
opentop0-notyz1-speedup2-7,0.764705882353,1.03238045497,17
opentop0-notyz1-volume-7,0.68,1.02431384489,50
opentop0-yz0-speedup2-3,0.625,1.03967281156,24
opentop0-yz0-speedup2-7,0.727272727273,1.03402946652,11
opentop0-top0-speedup2-7,0.764705882353,1.03238045497,17
opentop0-top1-speedup2-7,0.764705882353,1.03238045497,17
opentop0-nottop0-speedup2-1,0.7,1.03630019345,10
opentop0-jump2-speedup2-2,0.727272727273,1.02181661353,55
opentop0-jump2-speedup2-7,0.769230769231,1.0394976694,13
opentop0-foot0-speedup2-7,0.727272727273,1.03402946652,11
opentop0-foot1-speedup2-2,0.8125,1.03978975456,16
