,win_ratio,mean,count
jump1-speedup2-~foot1-yz0,0.673076923077,1.04103974193,52
jump1-speedup2-~foot2-yz0,0.727272727273,1.04493046515,33
jump1-speedup2-~isnew-yz0,0.608695652174,1.02219305752,46
jump1-speedup2-small_volume-yz0,0.717391304348,1.04523587081,46
jump1-foot0-isnew-yz0,0.602272727273,1.02237393352,88
jump1-~foot1-isnew-yz0,0.6875,1.03574324862,32
jump1-~foot1-small_volume-yz0,0.647058823529,1.02570516122,119
jump1-foot2-isnew-~opentop0-top0,0.606060606061,1.03059855005,33
jump1-isnew-small_volume-yz0,0.702127659574,1.03021914667,47
speedup2-jump2-foot0-yz0,0.634920634921,1.02503367549,63
speedup2-jump2-~foot1-yz0,0.629032258065,1.0251119707,62
speedup2-jump2-~foot2-yz0,0.675,1.03126298116,40
speedup2-jump2-small_volume-yz0,0.684210526316,1.03250804583,57
speedup2-foot0-~foot1-yz0,0.632911392405,1.02229771629,79
speedup2-foot0-foot2-yz0,0.675675675676,1.02049384211,37
speedup2-foot0-~foot2-yz0,0.673076923077,1.02709269969,52
speedup2-foot0-small_volume-yz0,0.686567164179,1.02693000668,67
~speedup2-~foot0-small_volume-~yz0-top0-opentop0,0.657142857143,1.02459145442,35
speedup2-~foot1-~foot2-yz0,0.666666666667,1.02731154924,51
speedup2-~foot1-isnew-~opentop0-top0,0.613636363636,1.02909202464,44
speedup2-~foot1-small_volume-yz0,0.666666666667,1.02596935577,66
speedup2-foot2-isnew-~opentop0-top0,0.606060606061,1.03166443491,33
speedup2-foot2-small_volume-yz0,0.666666666667,1.02217434186,33
speedup2-~foot2-small_volume-yz0,0.731707317073,1.03044322406,41
speedup2-isnew-small_volume-~opentop0-top0,0.604651162791,1.02327179839,43
speedup2-~isnew-small_volume-yz0,0.672131147541,1.02080923383,61
jump2-foot0-isnew-yz0,0.614457831325,1.02339507898,83
jump2-~foot1-small_volume-yz0,0.663265306122,1.02282292334,98
jump2-~foot2-small_volume-~yz0-top0-opentop0,0.607843137255,1.03124762579,51
jump2-isnew-small_volume-yz0,0.69387755102,1.02975251788,49
foot0-~foot1-isnew-yz0,0.702702702703,1.03557089612,37
