,win_ratio,mean,count
opentop0-opentop1-notyz1-jump1-jump2-foot0-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-notyz1-jump1-jump2-foot0-minute-volume,0.666666666667,1.03293114962,12
opentop0-opentop1-notyz1-jump1-jump2-foot2-minute-volume,0.769230769231,1.02952175028,13
opentop0-opentop1-notyz1-jump1-jump2-speedup2-minute-volume,0.818181818182,1.02953625315,11
opentop0-opentop1-notyz1-jump1-foot0-foot2-minute-volume,0.846153846154,1.03733521255,13
opentop0-opentop1-notyz1-jump2-foot0-foot2-minute-volume,0.833333333333,1.03586077501,12
opentop0-opentop1-yz0-top0-top1-jump1-jump2-speedup2,0.8,1.02223045638,10
opentop0-opentop1-yz0-top0-top1-jump1-foot0-speedup2,0.8,1.02223045638,10
opentop0-opentop1-yz0-top0-top1-jump1-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-yz0-top0-top1-foot0-speedup2-volume,0.9,1.03442235001,10
opentop0-opentop1-yz0-top0-jump1-jump2-foot0-speedup2,0.8,1.02223045638,10
opentop0-opentop1-yz0-top0-jump1-jump2-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-yz0-top0-jump1-foot0-foot2-volume,0.8,1.02134981822,10
opentop0-opentop1-yz0-top0-jump1-foot0-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-yz0-top1-jump1-jump2-foot0-speedup2,0.8,1.02223045638,10
opentop0-opentop1-yz0-top1-jump1-jump2-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-yz0-top1-jump1-foot0-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-yz0-jump1-jump2-foot0-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-top0-top1-jump1-jump2-foot0-speedup2,0.8,1.02223045638,10
opentop0-opentop1-top0-top1-jump1-jump2-speedup2-volume,0.818181818182,1.02953625315,11
opentop0-opentop1-top0-top1-jump1-foot0-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-top0-top1-jump1-speedup2-minute-volume,0.818181818182,1.02953625315,11
opentop0-opentop1-top0-top1-jump2-speedup2-minute-volume,0.833333333333,1.03559568945,12
opentop0-opentop1-top0-jump1-jump2-foot0-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-top0-jump1-jump2-speedup2-minute-volume,0.818181818182,1.02953625315,11
opentop0-opentop1-top1-jump1-jump2-foot0-speedup2-minute,0.8,1.02223045638,10
opentop0-opentop1-top1-jump1-jump2-speedup2-minute-volume,0.818181818182,1.02953625315,11
opentop0-opentop2-notyz0-notyz1-top0-top1-jump1-minute,0.611111111111,1.07336944452,18
opentop0-opentop2-notyz0-notyz1-top0-top1-minute-volume,0.631578947368,1.02278340457,19
opentop0-opentop2-notyz1-yz0-top0-top1-jump1-foot0,0.75,1.05892721254,12
opentop0-opentop2-notyz1-yz0-top0-top1-jump1-minute,0.75,1.05892721254,12
opentop0-opentop2-notyz1-yz0-top0-top1-jump1-volume,0.818181818182,1.0685596594,11
opentop0-opentop2-notyz1-yz0-top0-top1-foot0-minute,0.785714285714,1.05727122216,14
opentop0-opentop2-notyz1-yz0-top0-top1-foot0-volume,0.846153846154,1.06529437025,13
opentop0-opentop2-notyz1-yz0-top0-top1-minute-volume,0.846153846154,1.06529437025,13
opentop0-opentop2-notyz1-yz0-top0-jump1-foot0-minute,0.75,1.05892721254,12
opentop0-opentop2-notyz1-yz0-top0-jump1-foot0-volume,0.818181818182,1.0685596594,11
opentop0-opentop2-notyz1-yz0-top0-jump1-minute-volume,0.818181818182,1.0685596594,11
opentop0-opentop2-notyz1-yz0-top0-foot0-minute-volume,0.846153846154,1.06529437025,13
opentop0-opentop2-notyz1-yz0-top1-jump1-foot0-minute,0.75,1.05892721254,12
opentop0-opentop2-notyz1-yz0-top1-jump1-foot0-volume,0.818181818182,1.0685596594,11
opentop0-opentop2-notyz1-yz0-top1-jump1-minute-volume,0.818181818182,1.0685596594,11
opentop0-opentop2-notyz1-yz0-top1-foot0-minute-volume,0.846153846154,1.06529437025,13
opentop0-opentop2-notyz1-yz0-jump1-foot0-minute-volume,0.818181818182,1.0685596594,11
opentop0-opentop2-notyz1-top0-top1-jump1-foot0-minute,0.692307692308,1.04728594689,13
opentop0-opentop2-notyz1-top0-top1-jump1-foot0-volume,0.75,1.05514558437,12
opentop0-opentop2-notyz1-top0-top1-jump1-minute-volume,0.653846153846,1.040576061,26
opentop0-opentop2-notyz1-top0-top1-foot0-minute-volume,0.785714285714,1.05402982659,14
opentop0-opentop2-notyz1-top0-jump1-foot0-minute-volume,0.75,1.05514558437,12
opentop0-opentop2-notyz1-top1-jump1-foot0-minute-volume,0.75,1.05514558437,12
opentop0-notyz0-notyz1-top0-top1-jump1-jump2-speedup2,0.619047619048,1.07074931954,21
opentop0-notyz0-notyz1-top0-top1-jump1-speedup1-minute,0.625,1.11725510711,16
opentop0-notyz0-notyz1-top0-top1-jump1-speedup2-volume,0.619047619048,1.07074931954,21
opentop0-notyz0-notyz1-top0-top1-jump1-minute-volume,0.7,1.02084207628,10
opentop0-notyz0-notyz1-top0-top1-jump2-foot2-speedup2,0.764705882353,1.03775363562,17
opentop0-notyz0-notyz1-top0-top1-jump2-foot2-minute,0.764705882353,1.03895759578,17
opentop0-notyz0-notyz1-top0-top1-jump2-foot2-volume,0.764705882353,1.03775363562,17
opentop0-notyz0-notyz1-top0-top1-jump2-speedup1-volume,0.636363636364,1.15050866949,11
opentop0-notyz0-notyz1-top0-top1-jump2-speedup2-minute,0.705882352941,1.06414831457,34
opentop0-notyz0-notyz1-top0-top1-jump2-speedup2-volume,0.757575757576,1.06973598714,33
opentop0-notyz0-notyz1-top0-top1-jump2-minute-volume,0.722222222222,1.06347335296,36
opentop0-notyz0-notyz1-top0-top1-foot2-speedup2-minute,0.75,1.03819929909,16
opentop0-notyz0-notyz1-top0-top1-foot2-speedup2-volume,0.764705882353,1.03775363562,17
opentop0-notyz0-notyz1-top0-top1-foot2-minute-volume,0.705882352941,1.03243466291,17
opentop0-notyz0-notyz1-top0-top1-speedup1-minute-volume,0.647058823529,1.11294600944,17
opentop0-notyz0-notyz1-top0-top1-speedup2-minute-volume,0.757575757576,1.0700499443,33
opentop0-notyz0-notyz1-top0-jump1-jump2-speedup2-volume,0.619047619048,1.07074931954,21
opentop0-notyz0-notyz1-top0-jump2-foot2-speedup2-minute,0.75,1.03819929909,16
opentop0-notyz0-notyz1-top0-jump2-foot2-speedup2-volume,0.764705882353,1.03775363562,17
opentop0-notyz0-notyz1-top0-jump2-foot2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-notyz1-top0-jump2-speedup1-minute-volume,0.636363636364,1.15050866949,11
opentop0-notyz0-notyz1-top0-jump2-speedup2-minute-volume,0.75,1.07095826736,32
opentop0-notyz0-notyz1-top0-foot2-speedup2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-notyz1-top1-nottop0-jump2-speedup1-speedup2,0.884615384615,1.03780138851,26
opentop0-notyz0-notyz1-top1-nottop0-jump2-speedup1-minute,0.851851851852,1.03201950724,27
opentop0-notyz0-notyz1-top1-nottop0-jump2-speedup2-minute,0.745098039216,1.02265390129,51
opentop0-notyz0-notyz1-top1-nottop0-jump2-speedup2-volume,0.80487804878,1.03095334849,41
opentop0-notyz0-notyz1-top1-nottop0-jump2-minute-volume,0.772727272727,1.02625897197,44
opentop0-notyz0-notyz1-top1-nottop0-foot1-minute-volume,0.740740740741,1.02472854908,27
opentop0-notyz0-notyz1-top1-nottop0-speedup1-speedup2-minute,0.892857142857,1.0409507732,28
opentop0-notyz0-notyz1-top1-nottop0-speedup2-minute-volume,0.775510204082,1.02893085436,49
opentop0-notyz0-notyz1-top1-jump1-jump2-speedup2-volume,0.619047619048,1.07074931954,21
opentop0-notyz0-notyz1-top1-jump2-foot1-minute-volume,0.818181818182,1.0375030623,11
opentop0-notyz0-notyz1-top1-jump2-foot2-speedup2-minute,0.75,1.03819929909,16
opentop0-notyz0-notyz1-top1-jump2-foot2-speedup2-volume,0.764705882353,1.03775363562,17
opentop0-notyz0-notyz1-top1-jump2-foot2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-notyz1-top1-jump2-speedup1-speedup2-minute,0.916666666667,1.04075913403,24
opentop0-notyz0-notyz1-top1-jump2-speedup1-speedup2-volume,0.95,1.04476040622,20
opentop0-notyz0-notyz1-top1-jump2-speedup1-minute-volume,0.636363636364,1.15050866949,11
opentop0-notyz0-notyz1-top1-jump2-speedup2-minute-volume,0.75,1.07095826736,32
opentop0-notyz0-notyz1-top1-foot2-speedup2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-notyz1-top1-speedup1-speedup2-minute-volume,0.913043478261,1.04232907897,23
opentop0-notyz0-notyz1-nottop0-jump2-speedup2-minute-volume,0.80487804878,1.03095334849,41
opentop0-notyz0-notyz1-jump2-foot2-speedup2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-notyz1-jump2-speedup1-speedup2-minute-volume,0.95,1.04476040622,20
opentop0-notyz0-top0-top1-jump1-jump2-speedup2-volume,0.619047619048,1.07074931954,21
opentop0-notyz0-top0-top1-jump2-foot2-speedup2-minute,0.75,1.03819929909,16
opentop0-notyz0-top0-top1-jump2-foot2-speedup2-volume,0.764705882353,1.03775363562,17
opentop0-notyz0-top0-top1-jump2-foot2-minute-volume,0.705882352941,1.03111237085,17
opentop0-notyz0-top0-top1-jump2-speedup2-minute-volume,0.75,1.07095826736,32
opentop0-notyz0-top0-top1-foot2-speedup2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-top0-jump2-foot2-speedup2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-top1-nottop0-jump2-speedup1-minute-volume,0.8,1.02549443599,25
opentop0-notyz0-top1-nottop0-jump2-speedup2-minute-volume,0.80487804878,1.03095334849,41
opentop0-notyz0-top1-jump2-foot2-speedup2-minute-volume,0.75,1.03819929909,16
opentop0-notyz0-top1-jump2-speedup1-speedup2-minute-volume,0.95,1.04476040622,20
opentop0-notyz1-yz0-top0-top1-jump1-jump2-foot0,0.666666666667,1.02400466034,63
opentop0-notyz1-yz0-top0-top1-jump1-jump2-foot2,0.652173913043,1.03189509838,23
opentop0-notyz1-yz0-top0-top1-jump1-jump2-speedup2,0.652173913043,1.03980486134,23
opentop0-notyz1-yz0-top0-top1-jump1-jump2-minute,0.611111111111,1.02040263573,18
opentop0-notyz1-yz0-top0-top1-jump1-jump2-volume,0.714285714286,1.04204281435,14
opentop0-notyz1-yz0-top0-top1-jump1-foot0-foot2,0.678571428571,1.02961475254,28
opentop0-notyz1-yz0-top0-top1-jump1-foot0-speedup2,0.652173913043,1.03980486134,23
opentop0-notyz1-yz0-top0-top1-jump1-foot0-minute,0.647540983607,1.02360975558,122
opentop0-notyz1-yz0-top0-top1-jump1-foot0-volume,0.72,1.0308307461,25
opentop0-notyz1-yz0-top0-top1-jump1-foot2-minute,0.727272727273,1.04154800839,22
opentop0-notyz1-yz0-top0-top1-jump1-foot2-volume,0.684210526316,1.02085028227,19
opentop0-notyz1-yz0-top0-top1-jump1-speedup2-minute,0.681818181818,1.04331843836,22
opentop0-notyz1-yz0-top0-top1-jump1-speedup2-volume,0.714285714286,1.02404233665,21
opentop0-notyz1-yz0-top0-top1-jump1-minute-volume,0.72,1.0308307461,25
opentop0-notyz1-yz0-top0-top1-jump2-foot0-foot2,0.652173913043,1.03272577721,23
opentop0-notyz1-yz0-top0-top1-jump2-foot0-speedup2,0.740740740741,1.02058998567,27
opentop0-notyz1-yz0-top0-top1-jump2-foot0-minute,0.654545454545,1.02688212637,55
opentop0-notyz1-yz0-top0-top1-jump2-foot0-volume,0.647058823529,1.02858353783,17
opentop0-notyz1-yz0-top0-top1-jump2-foot2-speedup2,0.7,1.04866858309,10
opentop0-notyz1-yz0-top0-top1-jump2-foot2-minute,0.736842105263,1.04490031943,19
opentop0-notyz1-yz0-top0-top1-jump2-foot2-volume,0.736842105263,1.02323343588,19
opentop0-notyz1-yz0-top0-top1-jump2-speedup2-minute,0.740740740741,1.02058998567,27
opentop0-notyz1-yz0-top0-top1-jump2-speedup2-volume,0.769230769231,1.02725626753,26
opentop0-notyz1-yz0-top0-top1-jump2-minute-volume,0.6875,1.0335128182,16
opentop0-notyz1-yz0-top0-top1-foot0-foot2-speedup2,0.7,1.04866858309,10
opentop0-notyz1-yz0-top0-top1-foot0-foot2-minute,0.727272727273,1.04241644535,22
opentop0-notyz1-yz0-top0-top1-foot0-foot2-volume,0.714285714286,1.02321524122,21
opentop0-notyz1-yz0-top0-top1-foot0-speedup2-minute,0.652173913043,1.04302788308,23
opentop0-notyz1-yz0-top0-top1-foot0-speedup2-volume,0.727272727273,1.03402946652,11
opentop0-notyz1-yz0-top0-top1-foot0-minute-volume,0.709677419355,1.02187543613,31
opentop0-notyz1-yz0-top0-top1-foot2-minute-volume,0.714285714286,1.02321524122,21
opentop0-notyz1-yz0-top0-top1-speedup2-minute-volume,0.733333333333,1.02451221595,30
opentop0-notyz1-yz0-top0-jump1-jump2-foot0-foot2,0.652173913043,1.03189509838,23
opentop0-notyz1-yz0-top0-jump1-jump2-foot0-speedup2,0.652173913043,1.03980486134,23
opentop0-notyz1-yz0-top0-jump1-jump2-foot0-minute,0.611111111111,1.02040263573,18
opentop0-notyz1-yz0-top0-jump1-jump2-foot0-volume,0.714285714286,1.04204281435,14
opentop0-notyz1-yz0-top0-jump1-jump2-foot2-minute,0.736842105263,1.04389476085,19
opentop0-notyz1-yz0-top0-jump1-jump2-foot2-volume,0.705882352941,1.02059238701,17
opentop0-notyz1-yz0-top0-jump1-jump2-speedup2-minute,0.681818181818,1.04331843836,22
opentop0-notyz1-yz0-top0-jump1-jump2-speedup2-volume,0.7,1.02272857659,20
opentop0-notyz1-yz0-top0-jump1-jump2-minute-volume,0.714285714286,1.04204281435,14
opentop0-notyz1-yz0-top0-jump1-foot0-foot2-minute,0.727272727273,1.04154800839,22
opentop0-notyz1-yz0-top0-jump1-foot0-foot2-volume,0.684210526316,1.02085028227,19
opentop0-notyz1-yz0-top0-jump1-foot0-speedup2-minute,0.681818181818,1.04331843836,22
opentop0-notyz1-yz0-top0-jump1-foot0-speedup2-volume,0.714285714286,1.02404233665,21
opentop0-notyz1-yz0-top0-jump1-foot0-minute-volume,0.72,1.0308307461,25
opentop0-notyz1-yz0-top0-jump1-foot2-minute-volume,0.684210526316,1.02085028227,19
opentop0-notyz1-yz0-top0-jump1-speedup2-minute-volume,0.714285714286,1.02404233665,21
opentop0-notyz1-yz0-top0-jump2-foot0-foot2-speedup2,0.7,1.04866858309,10
opentop0-notyz1-yz0-top0-jump2-foot0-foot2-minute,0.736842105263,1.04490031943,19
opentop0-notyz1-yz0-top0-jump2-foot0-foot2-volume,0.736842105263,1.02323343588,19
